Category,restuaurants,rating,location_data,food_price,offer_data,food_item
lunch,The Ofen,5.0,Banjara Hills,2000,45% Off,"Mexican, Italian, Beverages"
lunch,Forefathers,4.5,Jubilee Hills,1500,25% Off,Multicuisine
lunch,Tevar - The Progressive Indian Kitchen & Bar,4.1,Hitech City,4000,25% Off,Modern Indian
lunch,One8 Commune,4.7,Hitech City,2500,25% Off,Multicuisine
lunch,Aster Cafe & Kitchen,4.0,Banjara Hills,1000,40% Off,Multicuisine
lunch,Golconda Pavilion,4.4,ITC Kohenur,2500,25% Off,"Chinese, Desserts, Multicuisine, Continental, Finger Food, North Indian"
lunch,Fuel Cafe,4.0,Banjara Hills,800,40% Off,Cafe
lunch,Pizza Zone,4.0,Habsiguda,1000,25% Off,Multicuisine
lunch,7 Sisters,4.4,Banjara Hills,700,50% Off,North Eastern
lunch,Vasaara,4.0,Banjara Hills,1000,40% Off,"European, South Indian"
lunch,Hibacci,4.4,Banjara Hills,1250,40% Off,"Chinese, North Eastern, Pan Asian, Asian"
lunch,Blu Café Lounge,4.3,Radisson Blu Plaza Hotel,900,55% Off,"Cafe, Bakery"
lunch,Habitat Cafe,4.7,Banjara Hills,1200,35% Off,Multicuisine
lunch,Mazuri Cafe,4.0,Banjara Hills,1000,55% Off,"European, Multicuisine"
lunch,Tabla,4.2,Banjara Hills,1333,45% Off,Multicuisine
lunch,Imli Sarai,4.0,Banjara Hills,1800,45% Off,European
lunch,A'La Liberty,4.3,Banjara Hills,1300,35% Off,"Indian, European"
lunch,Hummus House,5.0,Banjara Hills,1100,35% Off,Mediterranean
lunch,The Octagon Cafe,4.0,Banjara Hills,1600,35% Off,European
lunch,Pakka Local,4.2,Banjara Hills,1200,25% Off,Multicuisine
lunch,Moyaaah!,4.0,Banjara Hills,700,50% Off,"Fast Food, European"
lunch,Chill and Terrace ,3.9,Radisson Blu Plaza Hotel,1500,60% Off,"European, Indian"
lunch,Mezbaan Kitchen,5.0,Banjara Hills,800,45% Off,Indian
lunch,La Pino'z Pizza,5.0,Banjara Hills,400,35% Off,"Italian, Pizza"
lunch,Namchi - Fusion Of Taste Buds,4.2,Banjara Hills,1000,45% Off,Indian
lunch,Ohri's Cake Nation,1.0,Banjara Hills,800,35% Off,Bakery
lunch,Lemerian Workin Cafe,4.0,Banjara Hills,800,35% Off,Multicuisine
lunch,Wow! China Bistro,1.0,Banjara Hills,600,25% Off,Chinese
lunch,Kasuall,3.7,Somajiguda,1200,75% Off,Multicuisine
lunch,Bourbon & Breeze,4.3,Banjara Hills,1500,75% Off,Multicuisine
lunch,Bar 41 ,1 4,Radisson Blu Plaza Hotel,2000,60% Off,"Finger Food, Cocktail Menu"
lunch,Harry's The Pub,4.8,Aditya Park,1400,50% Off,"Finger Food, Cocktail Menu"
lunch,ZYTHUM Brewing Co.,4.4,Jubilee Hills,2500,50% Off,Multicuisine
lunch,Aqua ,4.4,The Park,2500,55% Off,"Cocktail Menu, Finger Food"
lunch,By The Bay,4.1,Necklace Road,1200,35% Off,"Cocktail Menu, Multicuisine"
lunch,Masala Republic by Dadu's,4.5,Banjara Hills,1100,55% Off,Multicuisine
lunch,Verandah ,4.5,The Park,2500,35% Off,Multicuisine
lunch,Zanzi Bar,5.0,The Golkonda Hotel,1900,50% Off,"Finger Food, Cocktail Menu"
lunch,Tolly Junction Rest O Bar,4.0,Banjara Hills,1000,50% Off,Multicuisine
lunch,TOS Club & Lounge,4.0,Banjara Hills,1000,50% Off,Multicuisine
lunch,Medley,4.6,Jubilee Hills,1000,45% Off,Multicuisine
lunch,24/7 Gallery Café,4.7,Hyatt Place Hyderabad Banjara Hills,1500,45% Off,Multicuisine
lunch,The Dining Room,4.1,Park Hyatt,3500,40% Off,Multicuisine
lunch,Rium Cafe,2.0,Banjara Hills,1200,75% Off,"Continental, Chinese"
lunch,Kabul Darbar,3.9,Tolichowki,1000,40% Off,"Arabian, Afghani"
lunch,The Gallery Cafe,5.0,Banjara Hills,900,40% Off,Continental
lunch,10 Biryanis,5.0,Jubilee Hills,1200,55% Off,"North Indian, Mughlai"
lunch,Barbeque Nation,4.5,Banjara Hills,2000,25% Off,"Multicuisine, Barbeque"
lunch,Melange ,4.0,The Golkonda Hotel,2200,45% Off,Multicuisine
lunch,Seventh Heaven,4.3,Panjagutta,1500,35% Off,Multicuisine
lunch,The Fifth Street,4.0,Jubilee Hills,1000,40% Off,Multicuisine
lunch,Mandi King Elite Arabian Restaurant,5.0,Tolichowki,1000,35% Off,Arabian
lunch,MoMo Cafe,3.8,Courtyard By Marriott,2000,55% Off,Multicuisine
lunch,The Sicca Bar,1.0,The Park,1800,55% Off,"Cocktail Menu, Finger Food"
lunch,Zouq ,3.9,Banjara Hills,600,35% Off,Turkish
lunch,FEU - Dessert Bar & Kitchen,5.0,Jubilee Hills,1400,35% Off,Multicuisine
lunch,MOB - Belgium Beer House,4.0,Film Nagar,1500,35% Off,Multicuisine
lunch,Garage Moto Cafe,4.0,Jubilee Hills,800,35% Off,Multicuisine
lunch,The Palm Banjara,3.2,Jubilee Hills,800,35% Off,Multicuisine
lunch,The Terrace,5.0,Mercure Hyderabad KCP,1800,40% Off,Multicuisine
lunch,Wow! Momo,1.0,Ameerpet,400,40% Off,Momos
lunch,Miami Galley Cafe,5.0,Somajiguda,1000,50% Off,Multicuisine
lunch,AB's - Absolute Barbecues,4.5,Banjara Hills,1850,25% Off,"Multicuisine, Barbeque"
lunch,Urban Nemo Cafe In Garden,4.8,Jubilee Hills,800,25% Off,Multicuisine
lunch,Dakshin Haveli,4.0,Banjara Hills,400,50% Off,South Indian
lunch,Fly - Feel The High,5.0,Jubilee Hills,1400,45% Off,"Cocktail Menu, Multicuisine"
lunch,Telugu Table,3.8,Jubilee Hills,700,45% Off,South Indian
lunch,Sync Resto Bar,4.8,Best Western Ashoka,1300,40% Off,Indian
lunch,Navika Cafe,4.5,Jubilee Hills,1200,40% Off,"Chinese, Continental"
lunch,Hoist | Bar & Kitchen,4.0,Banjara Hills,1600,40% Off,Multicuisine
lunch,Krispy Kreme,4.0,Banjara Hills,350,40% Off,Desserts
lunch,Cups N Plates,4.6,Lakdikapul,900,35% Off,Fast Food
lunch,Chili's American Grill & Bar,3.5,Madhapur,1500,40% Off,Tex-Mex
lunch,The Bedford BakeHouse & TeaRoom,4.5,Banjara Hills,1100,35% Off,"Italian, European, Bakery"
lunch,Esthio,4.1,Somajiguda,1150,35% Off,Italian
lunch,Params Kitchen & Cafe,4.0,Ameerpet,600,35% Off,Multicuisine
lunch,Banjara9 Multi Cuisine Restaurant,4.0,Khairatabad,1000,35% Off,Multicuisine
lunch,Deccan Cafe Restaurant ,4.0,Park Continental,800,35% Off,Indian
lunch,Chandra Haveli,3.0,Jubilee Hills,800,40% Off,Multicuisine
lunch,Bharpur Multicusine Family Restaurant,4.0,Punjagutta,1000,35% Off,Multicuisine
lunch,Moonlight Bar,2.7,Best Western Ashoka,1200,40% Off,Finger Food
lunch,Arabian Nights Mandi Restaurant,3.5,Ameerpet,600,35% Off,Multicuisine
lunch,Marco Polo Bar,4.3,ITC Kakatiya,2700,25% Off,Finger Food
lunch,Golden Pavilion,3.3,Banjara Hills,1500,35% Off,Multicuisine
lunch,Candy cloud factory,4.0,Banjara Hills,300,25% Off,"Beverages, Fast Food, Desserts"
lunch,Kritunga The Palegars Cuisine,3.0,Somajiguda,1200,35% Off,Multicuisine
lunch,Paradise Biryani - A Legend since 1953,3.3,Khairatabad,800,35% Off,Biryani
lunch,Hyderabad Mandi Restaurant ,4.0,Yousufguda,450,25% Off,Multicuisine
lunch,ZING - Sky Bar + Lounge,4.1,Hyatt Place Hyderabad Banjara Hills,1500,25% Off,Multicuisine
lunch,Onesta,4.0,Banjara Hills,600,25% Off,Italian
lunch,Jolly Bros and Co.,5.0,Banjara Hills,1500,25% Off,"Finger Food, Cocktail Menu"
lunch,Post Card Global Tapas Bar,4.6,Madhapur,1400,55% Off,Tapas
lunch,Insomnia,4.0,Jubilee Hills,1500,45% Off,"Finger Food, Cocktail Menu"
lunch,Stone Waters - Kitchen & Lounge,4.6,Jubilee Hills,1300,45% Off,"Cocktail Menu, Multicuisine"
lunch,Connect,1.0,Jubilee Hills,1200,40% Off,Multicuisine
lunch,The Library Bar,4.0,The Leela Hyderabad,3500,25% Off,"Finger Food, Cocktail Menu"
lunch,Ping's Café Orient,4.0,Banjara Hills,1800,25% Off,Pan Asian
lunch,Saz Pizzeria,4.0,Banjara Hills,1000,25% Off,European
lunch,Tiga,4.0,The Leela Hyderabad,3500,25% Off,Pan Asian
lunch,Chika A Coffee Collective,4.0,Banjara Hills,1000,25% Off,"European, South Indian"
lunch,Bel Posto The Cafe,4.5,Jubilee Hills,800,55% Off,Multicuisine
lunch,Okra,3.8,Hyderabad Marriott Hotel & Convention Centre,2500,55% Off,Multicuisine
lunch,Punjab Grill,3.4,Kondapur,1100,55% Off,North Indian
lunch,Pause Lounge Bar,2.7,Hitech City,2100,75% Off,"Finger Food, Cocktail Menu"
lunch,Platform 65,3.4,Kondapur,800,50% Off,Multicuisine
lunch,Mairu Bistro & Cafe,4.5,Jubilee Hills,1000,75% Off,Cafe
lunch,Promenade,4.1,Aditya Park,1000,50% Off,Multicuisine
lunch,Fusion 9,3.6,Hitech City,1800,55% Off,Multicuisine
lunch,Spice It ,3.2,Ibis Hotel,1400,75% Off,Indian
lunch,Frosty Den,4.0,Amberpet,500,55% Off,"Fast Food, Desserts"
lunch,Taco Bell,1.0,Panjagutta,550,25% Off,"Mexican, Tex-Mex"
lunch,Black Pearl ,4.0,Hotel Central Park,800,55% Off,Multicuisine
lunch,La Milano Pizzeria,5.0,Himayath Nagar,600,50% Off,Italian
lunch,Altitude,4.8,Hyderabad Marriott Hotel & Convention Centre,1800,55% Off,"Finger Food, Cocktail Menu"
lunch,YouMee ,4.5,Kukatpally,1500,50% Off,"Pan Asian, Asian"
lunch,TGI Friday's,4.2,Kukatpally,2500,50% Off,Multicuisine
lunch,En Lukx Lounge And Sky Bar,4.5,Madhapur,1200,65% Off,Multicuisine
lunch,Heart Cup Coffee,4.7,Kompally,2000,55% Off,Multicuisine
lunch,Rebel & Rye Bar & Kitchen,4.0,Film Nagar,1600,65% Off,Multicuisine
lunch,Wild Rovers Sky Bar & Lounge,4.4,Gachibowli,1400,50% Off,Finger Food
lunch,Sounds & Spirits,3.6,Jubilee Hills,1200,60% Off,"Finger Food, Cocktail Menu"
lunch,Cafe Noir,1.0,Begumpet,900,45% Off,"European, French"
lunch,Flechazo Gold,3.8,Madhapur,1800,55% Off,Multicuisine
lunch,Aroma Multi Cuisine Restaurant,3.9,Gachibowli,1200,60% Off,Multicuisine
lunch,Masala Republic by Dadu's,4.5,Himayath Nagar,1100,55% Off,Multicuisine
lunch,Buffalo Wild Wings,4.5,Gachibowli,2000,35% Off,American
lunch,MK Warehouse,4.0,Jubilee Hills,1200,75% Off,Multicuisine
lunch,Daily Rituals,3.8,Jubilee Hills,1300,45% Off,Multicuisine
lunch,Tabla Restaurant,4.6,Kukatpally,1000,45% Off,Multicuisine
lunch,TARO - Pan Asian Restaurant & Bar,5.0,Jubilee Hills,2200,35% Off,Pan Asian
lunch,Amnesia Lounge Bar,4.0,Jubilee Hills,1500,45% Off,"Cocktail Menu, Multicuisine"
lunch,Hotel Kass,5.0,Hotel Kass,1200,40% Off,Multicuisine
lunch,Kritunga - The Palegar's Cuisine,4.0,Kondapur,900,50% Off,"Chinese, Indian"
lunch,Diablo Cocktail Bar & Kitchen,5.0,Jubilee Hills,2000,40% Off,Mediterranean
lunch,Ming Ustad,4.6,Hitech City,1500,50% Off,"Chinese, Indian"
lunch,Scotchman,4.0,Royalton Hotel,1000,50% Off,Multicuisine
lunch,The Sanctuary Bar and Kitchen,4.4,Jubilee Hills,2000,45% Off,"Continental, South Indian, North Indian, Italian"
lunch,Pavilion,3.8,The Peerless Inn,800,50% Off,Multicuisine
lunch,Tamm Jham,4.0,Jubilee Hills,1200,65% Off,Multicuisine
lunch,Native Katha,2.7,Madhapur,600,55% Off,Multicuisine
lunch,Tree House	,3.7,L B Nagar,800,40% Off,Multicuisine
lunch,MoXa Kitchen,4.2,Jubilee Hills,1300,60% Off,Multicuisine
lunch,Good Vibes Only Cafe,4.4,Manikonda,1000,35% Off,"Fast Food, Italian"
lunch,Mamalola Penthouse,4.4,Nanakramguda,1500,50% Off,Multicuisine
lunch,Taqila - The Club & Lounge,4.1,Bachupally,1600,50% Off,Multicuisine
lunch,Thrivesome,5.0,Jubilee Hills,800,45% Off,European
lunch,Terra Cafe,3.3,Jubilee Hills,1100,45% Off,Multicuisine
lunch,Tamasha - Restro Cafe,4.2,Jubilee Hills,800,55% Off,"Korean, Thai, Asian, Continental"
lunch,Kritaa Nagar,4.2,Financial District,1400,55% Off,Indian
lunch,Masala Republic by Dadu's,3.5,Gachibowli,1100,55% Off,Multicuisine
lunch,Plan B,4.5,Begumpet,1000,40% Off,Multicuisine
lunch,Vanam Fine Dine,3.5,Madhapur,800,55% Off,South Indian
lunch,Harley's Fine Baking,5.0,Nanakramguda,600,35% Off,"Bakery, Desserts"
lunch,KNOX Club & Kitchen.,4.0,Jubilee Hills,1500,55% Off,Multicuisine
lunch,Tiger Lily ,4.0,Jubilee Hills,2400,35% Off,"European, Pan Asian"
lunch,Destination Cafe,4.0,Kukatpally,700,55% Off,Italian
lunch,Red Rhino Craft Brewery and Inspired Kitchen,4.3,Hitech City,2000,35% Off,Multicuisine
lunch,Lakshmi's United Kitchen,4.0,Madhapur,1000,50% Off,Multicuisine
lunch,Renao Cafe & Bistro,4.0,Madhapur,1200,45% Off,Multicuisine
lunch,Abids Bistro ,4.3,Royalton Hotel,1200,55% Off,Multicuisine
lunch,The Glass House,4.3,Jubilee Hills,1500,50% Off,Progressive Indian Cuisine
lunch,Vivaha Bhojnambu,2.9,Secunderabad,1400,50% Off,"Andhra, South Indian"
lunch,Cuisinekraft,4.3,Gachibowli,1000,45% Off,Multicuisine
lunch,Zyng ,4.4,Radisson Hyderabad Hitec City,2000,45% Off,Multicuisine
lunch,PA PA YA,5.0,Jubilee Hills,2000,45% Off,Asian
lunch,Sesame - Asian & Himalayan Cuisine,4.7,Gachibowli,1200,45% Off,"Chinese, Desserts, Japanese, Pan Asian, Asian, Himalyan"
lunch,Chama Gaucha,4.1,Radisson Hyderabad Hitec City,2200,45% Off,Multicuisine
lunch,Amnesia Sky Bar,3.8,Hitech City,1500,40% Off,Multicuisine
lunch,Marley's Joint,3.6,Secunderabad,700,35% Off,Fast Food
lunch,Ichata kitchen And Bar,5.0,Jubilee Hills,1200,45% Off,"Cocktail Menu, South Indian"
lunch,The Dome Cafe,4.8,Gachibowli,600,45% Off,Multicuisine
lunch,Lord Of The Drinks,3.8,Jubilee Hills,1800,45% Off,Multicuisine
lunch,Vivaha Bhojnambu,4.3,Secunderabad,1400,35% Off,"South Indian, Andhra"
lunch,e'woke - The Vegan Cafe,4.6,Secunderabad,800,35% Off,"Healthy Food, Vegan"
lunch,Raise The Bar,3.7,Gachibowli,2000,65% Off,Multicuisine
lunch,President Dhaba,3.9,Madhapur,800,40% Off,"Chinese, North Indian"
lunch,The Lal Street - Bar Exchange,3.6,Gachibowli,1200,35% Off,Multicuisine
lunch,Turquoise,4.3,Le Méridien Hyderabad,1900,55% Off,"European, Indian"
lunch,Thinespo,4.5,Kompally,1200,35% Off,"Multicuisine, Italian"
lunch,Raja Bhojanam - An Authentic Telugu Restaurant,4.0,Gachibowli,1000,45% Off,Indian
dinner,Exotica,5.0,Banjara Hills,2000,45% Off,Multicuisine
dinner,The Ofen,4.4,ITC Kohenur,2500,25% Off,"Mexican, Italian, Beverages"
dinner,63 Degree Modern Regional Buffet,4.0,Banjara Hills,1000,40% Off,Regional Indian
dinner,Forefathers,4.0,Habsiguda,1000,25% Off,Multicuisine
dinner,Golconda Pavilion,4.4,Banjara Hills,700,50% Off,"Chinese, Desserts, Multicuisine, Continental, Finger Food, North Indian"
dinner,Aster Cafe & Kitchen,4.4,Banjara Hills,1250,40% Off,Multicuisine
dinner,Tevar - The Progressive Indian Kitchen & Bar,4.0,Banjara Hills,1000,40% Off,Modern Indian
dinner,Pizza Zone,4.3,Radisson Blu Plaza Hotel,900,55% Off,Multicuisine
dinner,Fuel Cafe,4.0,Banjara Hills,1000,55% Off,Cafe
dinner,7 Sisters,4.2,Banjara Hills,1333,45% Off,North Eastern
dinner,Holy Basil,4.0,Banjara Hills,1800,45% Off,Pan Asian
dinner,Vasaara,4.2,Banjara Hills,1200,25% Off,"European, South Indian"
dinner,Ohri's Eatmor,5.0,Banjara Hills,1100,35% Off,Multicuisine
dinner,Hummus House,4.7,Banjara Hills,1200,35% Off,Mediterranean
dinner,Hibacci,4.0,Banjara Hills,1600,35% Off,"Chinese, North Eastern, Pan Asian, Asian"
dinner,A'La Liberty,5.0,Banjara Hills,800,45% Off,"Indian, European"
dinner,Habitat Cafe,5.0,Banjara Hills,400,35% Off,Multicuisine
dinner,Blu Café Lounge,4.0,Banjara Hills,700,25% Off,"Cafe, Bakery"
dinner,Mazuri Cafe,4.2,Banjara Hills,1000,45% Off,"European, Multicuisine"
dinner,Lemerian Workin Cafe,4.0,Banjara Hills,800,35% Off,Multicuisine
dinner,Mezbaan Kitchen,1.0,Banjara Hills,600,25% Off,Indian
dinner,Tabla,4.8,Aditya Park,1400,50% Off,Multicuisine
dinner,Chill and Terrace ,3.7,Somajiguda,1200,75% Off,"European, Indian"
dinner,Imli Sarai,4.0,The Golkonda Hotel,2200,45% Off,European
dinner,The Octagon Cafe,4.5,The Park,2500,35% Off,European
dinner,Namchi - Fusion Of Taste Buds,5.0,The Golkonda Hotel,1900,50% Off,Indian
dinner,La Pino'z Pizza,4.0,Banjara Hills,1000,50% Off,"Italian, Pizza"
dinner,Pakka Local,4.0,Banjara Hills,1000,50% Off,Multicuisine
dinner,Moyaaah!,4.6,Jubilee Hills,1000,45% Off,"Fast Food, European"
dinner,Ohri's Cake Nation,4.7,Hyatt Place Hyderabad Banjara Hills,1500,45% Off,Bakery
dinner,Bourbon & Breeze,4.1,Park Hyatt,3500,40% Off,Multicuisine
dinner,Wow! China Bistro,4.5,Banjara Hills,1100,40% Off,Chinese
dinner,Zanzi Bar,5.0,Jubilee Hills,1200,55% Off,"Finger Food, Cocktail Menu"
dinner,Harry's The Pub,4.0,Ameerpet,800,55% Off,"Finger Food, Cocktail Menu"
dinner,ZYTHUM Brewing Co.,5.0,Jubilee Hills,1000,50% Off,Multicuisine
dinner,Medley,3.8,Courtyard By Marriott,2000,55% Off,Multicuisine
dinner,Rasa by Ashoka,4.0,Jubilee Hills,800,35% Off,Indian
dinner,Aqua ,2.0,Banjara Hills,1200,75% Off,"Cocktail Menu, Finger Food"
dinner,Bar 41 ,1.0,Ameerpet,400,40% Off,"Finger Food, Cocktail Menu"
dinner,Kasuall,3.9,ITC Kakatiya,2600,55% Off,Multicuisine
dinner,The Dining Room,4.5,Banjara Hills,1850,25% Off,Multicuisine
dinner,Verandah ,4.5,Jubilee Hills,800,55% Off,Multicuisine
dinner,Kuchipudi,4.0,Banjara Hills,400,50% Off,South Indian
dinner,Aish,5.0,Banjara Hills,900,40% Off,"Indian, South Indian"
dinner,"Tre forni, Italian Restaurant & Bar",4.5,Jubilee Hills,1200,40% Off,Italian
dinner,Kabul Darbar,4.0,Banjara Hills,350,40% Off,"Arabian, Afghani"
dinner,Tolly Junction Rest O Bar,5.0,Jubilee Hills,1400,35% Off,Multicuisine
dinner,Cayenne ,4.0,Banjara Hills,1000,25% Off,Multicuisine
dinner,TOS Club & Lounge,4.6,Lakdikapul,900,35% Off,Multicuisine
dinner,Rika ,4.5,Banjara Hills,1100,35% Off,"Japanese, Asian"
